,price,Address,moreinfo,types
143,"$4,800",False Creek,"2 bd
1 ba
750 sf",House
144,"$3,000",Dunbar,"2 bd
2 ba
850 sf",House
145,"$4,590",Quilchena,"3 bd
2 ba
2696 sf",House
146,"$3,500",Yaletown,"3 bd
2 ba
1109 sf",House
147,"$2,400",Mount Pleasant East,"1 bd
1 ba
645 sf",House
148,"$2,400",Kitsilano,"1 bd
2 ba
650 sf",House
149,"$5,000",Downtown West,"2 bd
2 ba
1050 sf",House
150,"$2,290",South Marine,"2 bd
2 ba
780 sf",House
151,"$19,998",Downtown West,"4 bd
4 ba
3700 sf",House
152,"$2,100",West End,"0 bd
1 ba
259 sf",Apt/Condo
153,"$2,600",South Vancouver,"2 bd
1 ba
740 sf",House
154,"$2,800",Downtown West,"1 bd
1 ba
500 sf",Apt/Condo
155,"$2,750",Downtown West,"1 bd
1 ba
505 sf",Apt/Condo
156,"$2,400",Downtown West,"1 bd
1 ba
487 sf",Apt/Condo
157,"$1,500",West End,"0 bd
0 ba
250 sf",Apt/Condo
158,"$2,300",West End,"1 bd
1 ba
500 sf",Apt/Condo
159,"$4,200",West End,"2 bd
2 ba
945 sf",Apt/Condo
160,"$2,500",Downtown West,"1 bd
1 ba
503 sf",Apt/Condo
161,"$2,750",Downtown West,"1 bd
1 ba
505 sf",Apt/Condo
162,"$2,000",West End,"0 bd
1 ba
450 sf",Apt/Condo
163,"$3,200",Downtown West,"2 bd
1 ba
576 sf",Apt/Condo
164,"$2,800",Downtown West,"1 bd
1 ba
525 sf",Apt/Condo
165,"$2,400",West End,"0 bd
1 ba
400 sf",Apt/Condo
166,"$2,000",West End,"0 bd
1 ba
450 sf",Apt/Condo
167,"$3,600",West End,"2 bd
1 ba
1114 sf",Apt/Condo
168,"$3,800",West End,"3 bd
1 ba
970 sf",Apt/Condo
169,"$4,300",West End,"3 bd
2 ba
781 sf",Apt/Condo
170,"$3,300",Downtown West,"2 bd
1 ba
577 sf",Apt/Condo
171,"$3,400",Downtown West,"1 bd
1 ba
820 sf",House
172,"$2,600",Downtown East,"1 bd
1 ba
600 sf",House
173,"$4,300",Downtown West,"2 bd
2 ba
1020 sf",House
174,"$2,000",Fairview,"1 bd
1 ba
567 sf",Apt/Condo
175,"$3,700",West End,"2 bd
2 ba
805 sf",Apt/Condo
176,"$2,450",South Marine,"2 bd
2 ba
696 sf",House
177,"$2,600",Renfrew Heights,"3 bd
1 ba
917 sf",House
178,"$2,300",West End,"0 bd
1 ba
407 sf",Apt/Condo
179,"$3,300",Cambie,"2 bd
2 ba
962 sf",House
180,"$4,550",Marpole,"3 bd
2 ba
1006 sf",House
181,"$12,000",Coal Harbour,"3 bd
3 ba
2001 sf",House
182,"$2,850",South Vancouver,"2 bd
2 ba
850 sf",House
183,"$3,195",Downtown West,"V Tour

2 bd
2 ba
775 sf","V Tour


Apt/Condo"
184,"$2,780",South Vancouver,"2 bd
1 ba
740 sf",House
185,"$2,700",South Vancouver,"2 bd
2 ba
772 sf",House
186,"$2,000",Fairview,"1 bd
1 ba
550 sf",House
187,"$2,800",Downtown West,"2 bd
2 ba
885 sf",Apt/Condo
188,"$2,300",Yaletown,"1 bd
1 ba
508 sf",Apt/Condo
189,"$3,500",Yaletown,"2 bd
2 ba
900 sf",Apt/Condo
190,"$2,580",South Vancouver,"2 bd
1 ba
737 sf",House
191,"$5,500",Coal Harbour,"2 bd
2 ba
1550 sf",House
192,"$1,900",West End,"0 bd
1 ba
450 sf",Apt/Condo
193,"$2,000",Kitsilano,"1 bd
1 ba
475 sf",Apt/Condo
194,"$1,900",Kitsilano,"1 bd
1 ba
475 sf",Apt/Condo
195,"$2,300",Downtown West,"1 bd
1 ba
526 sf",Apt/Condo
196,"$3,800",Downtown West,"2 bd
1 ba
900 sf",Apt/Condo
197,"$1,900",West End,"0 bd
1 ba
450 sf",Apt/Condo
198,"$1,500",West End,"0 bd
1 ba
228 sf",Apt/Condo
199,"$2,500",West End,"0 bd
1 ba
421 sf",Apt/Condo
200,"$3,600",West End,"2 bd
2 ba
765 sf",Apt/Condo
201,"$2,350",West End,"0 bd
1 ba
415 sf",Apt/Condo
202,"$2,400",West End,"0 bd
1 ba
415 sf",Apt/Condo
203,"$2,500",West End,"0 bd
1 ba
515 sf",Apt/Condo
204,"$3,700",West End,"2 bd
2 ba
692 sf",Apt/Condo
205,"$2,275",West End,"0 bd
1 ba
400 sf",Apt/Condo
206,"$3,000",Downtown West,"2 bd
1 ba
576 sf",Apt/Condo
207,"$1,900",West End,"0 bd
1 ba
450 sf",Apt/Condo
208,"$2,850",West End,"2 bd
1 ba
560 sf",Apt/Condo
209,"$2,600",Downtown West,"1 bd
1 ba
557 sf",Apt/Condo
210,"$3,000",Yaletown,"2 bd
1 ba
657 sf",Apt/Condo
211,"$2,200",Downtown West,"0 bd
1 ba
439 sf",Apt/Condo
212,"$2,850",Yaletown,"1 bd
1 ba
555 sf",Apt/Condo
213,"$2,700",Downtown West,"1 bd
1 ba
500 sf",Apt/Condo
214,"$4,200",West End,"3 bd
2 ba
890 sf",Apt/Condo
215,"$2,500",Downtown West,"1 bd
1 ba
516 sf",Apt/Condo
216,"$2,000",Marpole,"1 bd
1 ba
466 sf",House
217,"$2,000",West End,"1 bd
1 ba
500 sf",Apt/Condo
218,"$3,850",Downtown West,"2 bd
2 ba
816 sf",House
219,"$3,100",Downtown West,"2 bd
2 ba
1100 sf",Apt/Condo
220,"$3,000",Downtown West,"2 bd
2 ba
800 sf",House
221,"$12,000",West End,"2 bd
2 ba
2500 sf",Apt/Condo
222,"$9,950",Downtown East,"2 bd
2 ba
2400 sf",Apt/Condo
223,"$9,100",Cambie,"1 bd
1 ba
715 sf",House
224,"$3,000",West End,"2 bd
2 ba
700 sf",Apt/Condo
225,"$3,000",Downtown West,"2 bd
1 ba
592 sf",Apt/Condo
226,"$2,500",Downtown West,"1 bd
1 ba
456 sf",Apt/Condo
227,"$2,400",West End,"1 bd
1 ba
490 sf",Apt/Condo
228,"$2,300",Downtown West,"0 bd
1 ba
439 sf",Apt/Condo
229,"$2,250",West End,"0 bd
1 ba
259 sf",Apt/Condo
230,"$2,600",West End,"1 bd
1 ba
516 sf",Apt/Condo
231,"$2,450",Downtown West,"1 bd
1 ba
456 sf",Apt/Condo
232,"$2,750",Downtown West,"1 bd
1 ba
525 sf",Apt/Condo
233,"$5,300",Downtown West,"3 bd
3 ba
1430 sf",House
234,"$2,600",Downtown West,"1 bd
1 ba
505 sf",Apt/Condo
235,"$2,000",Downtown West,"1 bd
1 ba
526 sf",Apt/Condo
236,"$2,000",West End,"1 bd
1 ba
500 sf",Apt/Condo
237,"$3,980",Downtown West,"2 bd
2 ba
950 sf",House
238,"$1,000",South Granville,"2 bd
2 ba
0 sf",House
239,"$9,990",Yaletown,"2 bd
2 ba
1700 sf",Townhouse
240,"$1,800",West End,"0 bd
1 ba
450 sf",Apt/Condo
241,"$2,300",West End,"1 bd
1 ba
500 sf",Apt/Condo
242,"$2,900",Downtown West,"2 bd
1 ba
623 sf",Apt/Condo
243,"$3,350",West End,"2 bd
2 ba
735 sf",Apt/Condo
244,"$2,900",Downtown West,"2 bd
1 ba
623 sf",Apt/Condo
245,"$2,700",Downtown West,"2 bd
1 ba
614 sf",Apt/Condo
246,"$2,300",Downtown West,"1 bd
1 ba
456 sf",Apt/Condo
247,"$2,250",Yaletown,"1 bd
1 ba
555 sf",Apt/Condo
248,"$2,700",Yaletown,"2 bd
1 ba
657 sf",Apt/Condo
249,"$2,200",West End,"0 bd
1 ba
406 sf",Apt/Condo
250,"$2,300",Downtown West,"1 bd
1 ba
512 sf",Apt/Condo
251,"$2,500",Yaletown,"2 bd
1 ba
711 sf",Apt/Condo
252,"$4,000",Knight,"3 bd
3 ba
1000 sf",House
253,"$13,800",Coal Harbour,"3 bd
3 ba
2001 sf",House
254,"$2,100",Downtown West,"1 bd
1 ba
500 sf",House
